,HBA,HBD,TPSA,dipole,excitation_energy_1,excitation_energy_2,excitation_energy_3,excitation_energy_4,homo_energy,homo_lumo_gap,logP,lumo_energy,melting_point,molecular_refractivity,oscillator_strength_1,oscillator_strength_2,oscillator_strength_3,oscillator_strength_4,pccdb_id,smiles
1696,3,3,52.49,1.1,4.767,4.801,4.972,5.257,-5.448,5.679,1.251,0.231,114.95,47.87,0.0024,0.0633,0.001,0.0044,4382,CNCCc1ccc(c(c1)O)O
1697,6,2,108.93,5.59,3.991,4.34,4.968,5.042,-6.514,4.966,0.226,-1.548,198.3,54.95,0.0094,0.0447,0.0281,0.0031,1883,O=C1[C@H](N)[C@@H]2N1C(=C(CS2)C)C(=O)O
1698,3,1,46.17,5.93,2.675,3.073,4.352,4.36,-6.55,3.899,0.959,-2.65,118.4,42.16,0.0,0.0232,0.0002,0.0759,7054,O=C1C(=O)Nc2c1cccc2
1699,4,1,50.69,2.17,5.025,5.413,5.493,5.764,-6.038,6.131,-0.825,0.093,69.52,51.63,0.0018,0.0003,0.0141,0.0001,2606,C#CCOC(=O)[C@@H]1CNC=NC1
1700,2,1,37.3,4.18,5.267,5.363,5.617,5.76,-6.123,6.128,2.309,0.005,102.41,49.11,0.1662,0.0282,0.0073,0.0012,2743,CC(=C[C@@H]1[C@H](C1(C)C)C(=O)O)C
1701,7,4,126.26,4.05,6.612,6.789,6.957,6.982,-7.508,8.417,-1.436,0.909,104.69,39.52,0.005,0.0074,0.0086,0.0172,635,O[C@@H]1C[C@H]([C@H](O1)COP(=O)(O)O)O
1702,2,1,43.09,4.23,4.956,5.599,6.269,6.364,-7.042,6.057,0.748,-0.985,33.23,23.78,0.0044,0.1843,0.092,0.0701,6595,CC(=C)C(=N)O
1703,2,0,18.46,0.01,6.609,6.663,6.994,7.053,-6.827,9.165,0.279,2.337,-43.13,23.51,0.0421,0.0,0.0,0.016,8071,COCCOC
1704,3,1,38.69,1.95,6.661,6.834,6.876,7.04,-7.048,9.1,-0.358,2.052,-25.18,29.48,0.0264,0.0078,0.0021,0.0015,8134,COCCOCCO
1705,0,0,45.82,4.1,3.447,3.718,3.866,4.227,-6.574,4.376,3.785,-2.199,80.38,60.7,0.0251,0.0204,0.0032,0.0045,6829,O=N(=O)c1ccccc1c1ccccc1
1706,3,0,26.93,4.66,4.473,4.687,4.747,4.894,-5.587,5.053,2.608,-0.533,84.69,70.84,0.1856,0.0478,0.0077,0.0206,3778,CC(c1c(C)n(n(c1=O)c1ccccc1)C)C
1707,2,2,48.91,2.15,5.362,5.955,6.155,6.176,-6.147,6.653,-0.098,0.506,88.55,24.72,0.063,0.1058,0.0045,0.0303,1745,OCc1cnc[nH]1
1708,2,0,47.58,7.09,4.748,5.108,5.825,5.893,-7.772,5.412,1.43,-2.359,79.79,35.87,0.022,0.1768,0.0,0.0,7042,N#Cc1ccccc1C#N
1709,3,1,46.53,3.1,5.716,6.572,6.686,6.695,-7.165,7.597,0.32,0.433,15.52,33.44,0.0022,0.0187,0.0208,0.01,6653,CCOC(=O)C(O)(C)C
1710,3,1,49.66,5.16,5.571,5.621,5.764,6.644,-7.127,6.4,-0.26,-0.727,91.7,32.82,0.0089,0.0006,0.0374,0.0113,1196,OC(=O)[C@@H]1CC[CH][N]1
1711,0,0,0.0,0.17,4.236,4.572,4.938,5.264,-5.94,4.92,2.973,-1.02,-9.41,46.62,0.0024,0.1521,0.5774,0.381,7941,C=Cc1cccc(c1)C=C
1712,1,0,17.07,4.11,3.551,4.334,4.471,5.428,-6.411,4.457,2.289,-1.954,60.65,46.35,0.0009,0.7269,0.0095,0.0635,7557,O=C/C(=C/c1ccccc1)/C
1713,2,2,46.25,1.3,3.703,4.197,4.459,4.591,-4.961,4.25,2.709,-0.71,138.78,50.38,0.0751,0.0163,0.0017,0.0027,8358,Oc1ccc2c(c1)c(N)ccc2
1714,1,0,38.66,2.73,3.297,5.486,6.384,7.194,-7.266,5.203,0.704,-2.063,-11.46,17.55,0.0014,0.0575,0.0003,0.0157,8026,CCO[N][O]
1715,1,1,32.86,3.29,4.184,4.565,4.615,5.394,-6.065,4.776,1.528,-1.29,130.37,44.57,0.0498,0.0367,0.0011,0.0002,6038,Oc1ccc2c(n1)cccc2
1716,0,0,45.82,3.72,4.139,4.41,6.844,7.033,-7.87,6.166,1.195,-1.703,6.19,24.64,0.0002,0.0001,0.1248,0.0037,398,CC(N(=O)=O)C
1717,2,1,15.27,1.58,3.599,4.08,4.567,4.654,-4.977,4.223,2.643,-0.754,106.43,75.31,0.1115,0.0289,0.0075,0.0071,1342,N1CCN(CC1)c1cccc2c1cccc2
1718,3,0,35.53,3.48,4.915,4.918,5.001,5.726,-6.199,5.309,1.482,-0.89,35.37,44.21,0.2818,0.1234,0.0001,0.0064,8499,COc1ccc(cc1)C(=O)OC
1719,4,1,63.4,6.48,5.639,5.744,6.05,6.168,-6.716,6.691,-0.268,-0.024,95.68,38.76,0.0093,0.0126,0.0207,0.0272,4843,OC(=N)CN1CCCC1=O
1720,3,2,74.43,6.38,4.278,4.617,5.266,5.319,-6.528,5.031,-0.354,-1.497,208.65,34.51,0.0012,0.1063,0.0001,0.0231,2094,OC1=NC=[N]=c2c1c[nH][n]2
1721,0,0,0.0,0.07,7.71,7.855,7.927,8.074,-8.275,10.452,2.196,2.177,-3.98,28.84,0.0135,0.0239,0.0116,0.0102,7296,CC1CCCC1
1722,1,0,17.07,2.55,4.419,6.066,6.737,6.904,-6.618,6.332,3.716,-0.286,-8.49,55.19,0.0,0.0227,0.014,0.0139,8163,CCCCCCCCCC(=O)C
1723,2,0,26.3,1.63,5.564,6.13,6.382,6.692,-6.8,6.836,1.083,0.035,-30.64,26.96,0.0178,0.0359,0.0068,0.176,7916,CC(=C)OC(=O)C
1724,1,1,28.68,2.3,5.792,6.202,6.23,6.284,-6.31,7.08,0.718,0.77,69.93,23.55,0.0018,0.0016,0.0026,0.0589,3406,Cc1c[nH]nc1
1725,1,1,26.02,1.57,4.133,4.434,4.691,4.887,-5.276,4.92,3.517,-0.356,90.75,56.28,0.0661,0.0141,0.01,0.0039,7015,Nc1ccccc1c1ccccc1
1726,5,3,94.83,4.22,5.393,5.736,5.834,6.001,-6.996,6.384,-0.703,-0.612,147.04,30.85,0.0025,0.0045,0.0006,0.0006,43,OC(=O)CC[C@@H](C(=O)O)O
1727,2,0,26.3,1.87,4.874,4.918,5.398,6.305,-6.996,5.812,1.473,-1.184,29.26,37.72,0.0001,0.0188,0.2555,0.0252,7150,COC(=O)c1ccccc1
1728,0,0,0.0,0.28,5.299,5.846,6.035,6.186,-6.416,6.558,2.249,0.142,6.49,36.22,0.0007,0.0506,0.001,0.0068,7500,CCc1ccccc1
1729,1,1,26.02,1.35,5.533,6.063,6.604,6.714,-6.362,6.895,0.831,0.533,9.08,18.77,0.0157,0.0082,0.1,0.0195,7853,NCC=C
1730,1,1,71.84,6.02,3.199,3.749,4.288,4.396,-6.071,3.916,2.59,-2.155,97.11,44.63,0.0382,0.0,0.0004,0.158,7444,O=N(=O)c1ccc(c(c1)N)C
1731,6,4,124.46,1.76,3.035,4.051,4.061,4.344,-6.256,4.629,2.468,-1.627,180.77,58.1,0.0001,0.0223,0.0002,0.0006,1969,NC(=N)C([N][N]C(C(=N)N)(C)C)(C)C
1732,6,3,111.9,10.85,3.227,3.499,4.088,4.106,-6.705,3.646,0.503,-3.059,181.44,49.74,0.0063,0.0032,0.7239,0.0027,42,O=C(CCC(=O)O)/C=C/C=C(\C(=O)O)/O
1733,3,0,39.19,0.46,4.291,4.927,4.957,5.174,-7.072,5.543,0.868,-1.529,44.77,35.52,0.0006,0.0033,0.0,0.0864,7151,COC(=O)c1cccnc1
1734,0,0,0.0,0.19,4.762,4.894,5.698,5.774,-6.033,5.203,2.33,-0.83,-3.55,36.53,0.1489,0.2304,0.0088,0.2259,7501,C=Cc1ccccc1
